ID,lat,lng,Severity,Weather Condition,Visibility (mi),Wind Speed (mph),Precipitation (in),hour,day,month,Description
A-3876712,40.44366,-104.68289,2,Fair,10,10,0,3,10,9,At Beginning of Freeway - Accident.
A-3876715,39.78395,-105.02839,2,Fair,10,5,0,8,10,9,At Federal Blvd/Exit 272 - Accident.
A-3876716,39.77178,-104.81892,2,Fair,10,5,0,9,10,9,At I-225 - Accident.
A-3876717,39.124963,-104.86477,2,Fair,10,15,0,9,10,9,At CO-105/Exit 161 - Accident.
A-3876718,39.856169,-104.987252,2,Fair,20,10,0,14,10,9,At 84th Ave/Exit 219 - Accident.
A-3876719,39.848846,-104.985658,3,Fair,30,5,0,10,10,9,Closed between 84th Ave/Exit 219 and US-36/Exit 217 - Road closed due to accident.
A-3876720,39.87186,-104.9877,3,Fair,20,10,0,14,10,9,Closed between 104th Ave/Exit 221 and 84th Ave/Exit 219 - Road closed due to accident.
A-3876721,39.83275,-105.02481,3,Fair,10,5,0,10,10,9,Closed at US-36/Denver-Boulder Tpke - Road closed due to accident.
A-3876722,39.959134,-105.169279,2,Fair,10,5,0,12,10,9,At McCaslin Blvd - Accident.
A-3876723,39.73664,-105.01436,2,Fair,20,10,0,14,10,9,At Zuni St/Exit 209C - Accident.
A-3876725,39.77834,-104.895417,2,Fair,20,10,0,15,10,9,At Quebec St/Exit 278 - Accident.
